"n"	"n.juveniles"	"nadult.1"	"nadult.2"	"phenotypes"	"ho"	"fis"	"ne1"	"ne2"	"ne3"	"ne4"	"inbreed"	"het2"	"F_inbreeding"	"agevals"	"ages"	"k"	"vk"
"Ho"	1	4277	501	501	0.00366262034323985	0.3081	0.0024	0	0	0	0	-0.000431514337779215	0.308114273754709	0	"0/1/2/3/4"	"3179/485/467/582/65"	1	0
"Ho1"	2	5178	419	419	0.00615508308022155	0.3087	-9e-04	4277	501	4778	Inf	-0.00100939164639746	0.308706449883866	0	"0/1/2/3/4"	"3782/1150/180/363/122"	1	0
"Ho2"	3	5101	158	158	-0.0049343981745579	0.3091	0.0013	4684.57028027499	456.345652173913	5155.1741686747	Inf	-0.00110454171459351	0.309125308994105	0	"0/1/2/3/4/5"	"2190/2205/666/156/41/1"	1	0
"Ho3"	4	5222	458	458	-0.00783450704225352	0.3069	0.0102	4815.61418441937	280.066105792912	5189.32425454302	225.023845523383	0.0011062467744607	0.306904929577465	0	"0/1/2/3/4"	"3821/670/671/494/24"	2.00448430493274	1.95943925988769
"Ho4"	5	5845	509	509	0.011685552407932	0.3107	-0.0037	4911.16316216282	310.193833254723	5303.87004630255	125.266719422274	-1.66200971122299e-05	0.310749134403525	0	"0/1/2/3/4"	"4075/1439/255/539/46"	2.99411764705882	6.17156282631396
"Ho5"	6	5692	227	227	0.00640310863321507	0.3093	-0.0019	5073.2712045635	336.478297080052	5485.177870774	60.382101109675	3.32567695751074e-05	0.309281973306302	0	"0/1/2/3/4/5"	"2528/2302/806/224/58/1"	2.34020618556701	5.62263745704467
"Ho6"	7	4947	558	558	-0.012960944595822	0.312	-0.0081	5166.87910109628	311.444240484166	5553.01080913162	115.267737381963	0.00090803249166993	0.311985467756585	0	"0/1/2/3/4"	"3700/633/550/585/37"	3.26315789473684	8.38328173374613
"Ho7"	8	5458	426	426	0.0188647178789939	0.3097	-0.0057	5134.27866281743	332.427856086202	5546.1009144274	153.250855902049	0.000779224411498358	0.309700883752549	0	"0/1/2/3/4"	"3865/1299/234/440/46"	2.29032258064516	3.39633827375763
"Ho8"	9	5990	202	202	0.00118701550387597	0.3066	0.0011	5172.62810600228	341.812880754498	5586.200593052	97.0972630519441	0.000678177561024285	0.306592377260982	0	"0/1/2/3/4/5"	"2970/2213/757/205/46/1"	1.98039215686275	2.15802756746263
"Ho9"	10	4070	511	430	-0.0181777777777778	0.3075	-0.0014	5252.26177611384	317.403069169816	5647.59358843234	146.674795481289	0.00120426584282174	0.3075	0	"0/1/2/3/4/5"	"2852/652/514/460/21/1"	2.37569060773481	3.68029465930018
"Ho10"	11	3549	392	318	0.00386604603051461	0.303	0.0064	5103.99976559404	329.901690451031	5519.09263197675	130.791245721368	0.00120295025739092	0.303007499353504	0	"0/1/2/3/4"	"2466/836/202/328/35"	2.14864864864865	2.73965802537231
"Ho11"	12	3857	169	140	-0.0103077307980986	0.3057	-0.001	4908.48519484662	334.722116612979	5325.23963144852	74.3105820833907	0.0017209976766277	0.305706780085064	0	"0/1/2/3/4"	"2166/1235/419/147/30"	1.86666666666667	1.87387387387387
"Ho12"	13	4327	313	253	-0.0141812227074236	0.306	0.0058	4799.45072545733	309.435934182579	5185.78005681309	147.729376720082	-6.59001358124245e-05	0.30603711790393	0	"0/1/2/3/4"	"2978/825/483/277/17"	1.86029411764706	1.5729302832244
"Ho13"	14	4175	365	311	-0.00133749442710655	0.3027	0.0122	4759.47600692312	309.707208912659	5139.2794561244	119.459563091734	-0.000292047176357113	0.302683905483727	0	"0/1/2/3/4"	"2765/1058/285/353/25"	2.22142857142857	3.05133607399794
"Ho14"	15	4075	243	205	-0.00727803738317757	0.3073	-0.0022	4712.35439731916	313.095056179154	5091.27603988523	58.4868994112637	0.000709472484228257	0.307268691588785	0	"0/1/2/3/4"	"2066/1414/548/201/51"	2.30337078651685	5.03192032686415
"Ho15"	16	4290	409	352	-0.0111051271003878	0.3089	-0.0053	4663.7254254128	307.187693051045	5031.20943943503	88.6333963031158	8.99181833724505e-06	0.308869021973287	0	"0/1/2/3/4"	"3173/624/430/390/25"	2.90909090909091	5.96666666666667
