"n"	"n.juveniles"	"nadult.1"	"nadult.2"	"phenotypes"	"ho"	"fis"	"ne1"	"ne2"	"ne3"	"ne4"	"inbreed"	"het2"	"F_inbreeding"	"agevals"	"ages"
"Ho"	1	2698	547	547	0.0073497688751926	0.3349	0.0023	0	0	0	0	-0.000527528967528279	0.334884437596302	0	"0/1/2/3/4"	"1563/553/582/451/96"
"Ho1"	2	2703	554	554	0.00971753147067854	0.3369	-1e-04	2698	547	3245	Inf	-0.000342630507239261	0.336868283696653	0	"0/1/2/3/4"	"1409/935/359/325/229"
"Ho2"	3	2755	564	564	0.00715576981018379	0.3366	0.0022	2700.49768561378	550.477747502271	3250.98892648416	Inf	0.000453849716597121	0.336559204579693	0	"0/1/2/3/4"	"1418/794/543/297/267"
"Ho3"	4	2422	449	449	0.0114420062695925	0.3362	0.0019	2718.42392827242	554.912539150348	3273.34745560397	39.8463514903686	0.000533484570397924	0.336206896551724	0	"0/1/2/3/4"	"1199/803/420/299/150"
"Ho4"	5	2513	504	504	0.0124792840570103	0.3359	0.002	2637.71762960991	524.010909965004	3162.54613291093	555.263103237088	0.00106184705812051	0.335946304275771	0	"0/1/2/3/4"	"1308/711/494/293/211"
"Ho5"	6	1933	423	423	0.0103989813242784	0.3359	0.0036	2611.79349954278	519.882606775891	3132.32421205656	536.86943558446	0.000784166810995135	0.335878607809847	0	"0/1/2/3/4"	"994/601/338/268/155"
"Ho6"	7	2105	436	436	0.00975993703266431	0.3366	0.0011	2467.38539740245	500.76692320336	2969.25780528783	547.348585441181	0.00102398033630302	0.336611570247934	0	"0/1/2/3/4"	"1196/559/350/242/194"
"Ho7"	8	2237	494	494	0.0188209447088978	0.3386	-0.0057	2408.16027899641	490.360905154195	2899.4477677567	490.345640051452	0.000715450108417892	0.338604906627609	0	"0/1/2/3/4"	"1240/684/313/291/203"
"Ho8"	9	2821	536	536	0.0213583556747096	0.3382	-0.0021	2385.34643449312	490.812857213644	2877.26410264606	502.489230223529	0.000280111258796456	0.33820673220137	0	"0/1/2/3/4"	"1546/822/453/276/260"
"Ho9"	10	1519	557	466	0.0135012594458438	0.3403	-0.0065	2426.99153736075	495.453848883115	2923.6877603865	485.24532846691	0.000962873441626044	0.34032241813602	0	"0/1/2/3/4"	"778/490/251/280/186"
"Ho10"	11	2127	508	411	0.0160362490149724	0.3378	-0.0012	2290.09944296156	500.989572389446	2808.98903106595	539.421686746988	0.000855344016588822	0.337769897557132	0	"0/1/2/3/4"	"1358/467/302/201/210"
"Ho11"	12	2100	503	421	0.0256445854819516	0.3384	-0.0045	2274.24577713227	501.618878551969	2792.22804942597	608.891187639247	0.00028496814822021	0.338385561285204	0	"0/1/2/3/4"	"1136/727/237/259/162"
"Ho12"	13	2030	493	415	0.0221676891615542	0.336	-0.0012	2258.62845686562	501.733682254713	2775.41455593233	608.3793627947	0.000244971664769	0.3360163599182	0	"0/1/2/3/4"	"1070/593/367/196/219"
"Ho13"	14	2286	425	361	0.013638080846241	0.3363	-0.0017	2239.22900735744	501.050889422499	2754.21863914401	531.70027329873	0.000699978434471893	0.336312806951266	0	"0/1/2/3/4"	"1238/675/373/233/128"
