"n"	"n.juveniles"	"nadult.1"	"nadult.2"	"phenotypes"	"ho"	"fis"	"ne1"	"ne2"	"ne3"	"ne4"
"Ho"	1	1516	329	329	-0.00609756097560976	0.366	-0.0016	0	0	0	0
"Ho"	2	1334	478	478	-0.0211092715231788	0.366	-0.0054	1516	329	1845	Inf
"Ho"	3	1544	537	537	-0.0307544449783758	0.3648	-0.0011	1419.18877192982	389.744733581165	1828.35110746514	Inf
"Ho"	4	1592	488	488	-0.0384615384615385	0.3655	-0.0035	1458.4883669659	428.953731750141	1905.46359622899	252.011558215337
"Ho"	5	1248	478	478	-0.0501158748551564	0.3648	-0.0012	1489.7219104699	442.333941042568	1946.29279639341	93.6017768411893
"Ho"	6	1709	478	478	-0.0601280292638317	0.3629	-5e-04	1434.16592839576	449.034905653013	1897.84758756454	451.487511039784
"Ho"	7	1490	473	473	-0.0883851248089659	0.3641	-0.0018	1473.66398507558	453.616159085802	1940.6102873188	819.768737927376
"Ho"	8	1672	478	478	-0.116627906976744	0.3633	0.0027	1475.97573595291	456.287437582099	1943.77749637637	813.344406832828
"Ho"	9	1650	414	414	-0.13093507751938	0.3632	1e-04	1497.92775340635	458.89301899372	1967.36558100767	580.760772704945
"Ho"	10	1462	583	583	-0.100855745721271	0.364	-0.0051	1513.4260768787	453.429832179879	1977.65355485789	781.004844108694
"Ho"	11	1826	459	459	-0.0480306345733042	0.3626	0.0017	1508.12123702387	463.73624435928	1984.1879315662	690.597674925002
"Ho"	12	1454	539	539	-0.0296036126442549	0.3622	0.0039	1532.37238904257	463.301641509954	2008.22204443917	754.277110771473
"Ho"	13	1501	418	418	-0.035695674830641	0.3637	-0.0022	1525.52010481819	468.788111910585	2006.94466524193	630.549265112322
"Ho"	14	1278	519	519	-0.0644129104062326	0.3625	-2e-04	1523.60553671171	464.447221687613	1999.8945167753	844.370020871579
"Ho"	15	1659	495	495	-0.0681290622098421	0.3623	3e-04	1502.97403963655	467.960647709276	1983.89478019999	932.191111422244
"Ho"	16	1637	483	483	-0.0811320754716981	0.3628	-8e-04	1512.45696309143	469.671031612916	1994.39484125973	818.772269219526
"Ho"	17	1577	466	466	-0.0981399902104748	0.3616	0.0015	1519.68306050644	470.482502420556	2001.80749894465	731.173432597999
"Ho"	18	1900	517	517	-0.0621638394704179	0.3634	-0.0025	1522.93906431867	470.216440020836	2004.18455040322	757.020593334402
"Ho"	19	1721	482	482	-0.108828869723105	0.3629	-0.0026	1539.91691557771	472.592278102536	2023.38383573991	777.025626868908
"Ho"	20	1434	471	471	-0.11259842519685	0.3628	-0.0031	1548.49227744824	473.078256337015	2032.10397145749	784.05063916563
"Ho"	21	1610	486	486	-0.0979246183206107	0.3622	2e-04	1542.33518303769	472.973908033234	2025.34728684493	834.856213885246
"Ho"	22	1313	521	521	-0.102099236641221	0.3607	0.0015	1545.42808776075	473.578344155558	2028.60351963706	845.669226261823
"Ho"	23	1287	462	462	-0.12292738707833	0.3609	-1e-04	1533.09222628748	475.545816678398	2018.86627164117	830.941759277626
"Ho"	24	1343	359	359	-0.154964747356052	0.3619	0.0013	1520.45172931006	474.940371994396	2005.41278835149	782.5041298317
"Ho"	25	767	510	258	-0.0548780487804878	0.3626	6e-04	1512.12678784077	468.634240589652	1990.62671310691	1067.23744921174
"Ho"	26	707	288	134	0.0948275862068965	0.3653	-0.0067	1455.56458880298	470.159613881596	1947.1026883131	1479.61447161447
"Ho"	27	1718	154	153	0.0463655799037948	0.3626	-0.0073	1398.60944234948	458.993732330397	1877.98649240902	2897.4740220118
"Ho"	28	1504	231	231	0.056628242074928	0.3618	-0.0058	1408.30632812281	427.626847244809	1877.76408776243	1059.98223011995
"Ho"	29	1527	414	411	0.0961042311661507	0.3611	-0.0028	1411.51379720906	415.010549183689	1872.26199275527	491.863741665883
"Ho"	30	1514	554	550	0.0853924418604651	0.3612	-0.0014	1415.2045272188	414.975620541794	1874.55112400191	314.024829418855
"Ho"	31	1278	508	502	0.100702247191011	0.3607	-0.0018	1418.28952466772	418.476124969711	1880.41450363018	307.723658836983
"Ho"	32	1573	512	508	0.0866170110523787	0.3601	4e-04	1413.28500446236	420.86866968581	1877.21333026052	353.207807890973
